CT,Capacity [kW],HWT [°C],CWT [°C],WBT [°C],approach [C°],range [C°],water flow [kg/s],air flow [kg/s],L/G,evap loss [%],Fan diameter [m],CT perf slope,CT perf y-int,Min Range [C°],Max per unit water flow,Min per unit water flow,Fan area [m2]
100,100,38,32.8,29.73400827,3.065991725,5.2,4.596264156,2.277240096,2.018348511,0.782233575,0.9,0.647737355,13.54017214,4,1.2,0.2,0.636172512
150,150,38,32.8,29.73400827,3.065991725,5.2,6.894396235,3.415860144,2.018348511,0.782233575,0.9,0.647737355,13.54017214,4,1.2,0.2,0.636172512
200,200,38,32.8,29.73400827,3.065991725,5.2,9.192528313,4.554480192,2.018348511,0.782233575,1.2,0.647737355,13.54017214,4,1.2,0.2,1.130973355
300,300,38,32.8,29.73400827,3.065991725,5.2,13.78879247,6.831720288,2.018348511,0.782233575,1.2,0.647737355,13.54017214,4,1.2,0.2,1.130973355
400,400,38,32.8,29.73400827,3.065991725,5.2,18.38505663,9.108960385,2.018348511,0.782233575,1.6,0.647737355,13.54017214,4,1.2,0.2,2.010619298
500,500,38,32.8,29.73400827,3.065991725,5.2,22.98132078,11.38620048,2.018348511,0.782233575,1.6,0.647737355,13.54017214,4,1.2,0.2,2.010619298
800,800,38,32.8,29.73400827,3.065991725,5.2,36.77011325,18.21792077,2.018348511,0.782233575,2.2,0.647737355,13.54017214,4,1.2,0.2,3.801327111
1000,1000,38,32.8,29.73400827,3.065991725,5.2,45.96264156,22.77240096,2.018348511,0.782233575,2.2,0.647737355,13.54017214,4,1.2,0.2,3.801327111
1700,1700,38,32.8,29.73400827,3.065991725,5.2,78.13649066,38.71308163,2.018348511,0.782233575,3.4,0.647737355,13.54017214,4,1.2,0.2,9.079202769
2500,2500,38,32.8,29.73400827,3.065991725,5.2,114.9066039,56.9310024,2.018348511,0.782233575,3.4,0.647737355,13.54017214,4,1.2,0.2,9.079202769
5000,5000,38,32.8,29.73400827,3.065991725,5.2,229.8132078,113.8620048,2.018348511,0.782233575,4.8,0.647737355,13.54017214,4,1.2,0.2,18.09557368
10000,10000,38,32.8,29.73400827,3.065991725,5.2,459.6264156,227.7240096,2.018348511,0.782233575,6.58,0.647737355,13.54017214,4,1.2,0.2,34.00491304
50000,50000,38,32.8,29.73400827,3.065991725,5.2,2298.132078,1138.620048,2.018348511,0.782233575,15.59,0.647737355,13.54017214,4,1.2,0.2,190.8895314
